shortdefinitions{
<ανά>γνωστος|hard to read
@κείω|to lie down
@κεγχρίτης2|like millet
@κεράς2|mixed
@κεράω2|make horned
@κεραΐς1|worm that eats horn
@κεραΐς|worm that eats horn
@κηλόω1|have an abnormal delivery
@κηλόω|have an abnormal delivery
@κηραίνω1|harm, destroy
@κηραίνω2|to be sick at heart, anxious
@κηραίνω|harm, destroy
@κλάω1|break, break off
@κλάω|break, break off
@κλέω1|tell of, make famous, celebrate
@κλέω2|call
@κλέω|tell of, make famous, celebrate
@κλείω1|shut, close, bar
@κλείω2|celebrate
@κλείω3|call
@κλείω|shut, close, bar
@κλῄζω1|make famous, celebrate in song
@κλῄζω2|shut
@κλῄζω|make famous, celebrate in song
@κλῆρος1|lot
@κλῆρος2|a beetle destructive in bee-hives, Clerus apiarius
@κλῆρος|lot
@κλῆσις1|calling, call
@κλῆσις2|closing
@κλῆσις|calling, call
@κνύζα1|itch
@κνύζα3|corrupt, wrinkled
@κνύζα|itch
@κομέω1|take care of, tend
@κομέω|take care of, tend
@κομμός1|striking
@κομμός2|care bestowed on dress or adornment
@κομμός3|molar teeth
@κομμός|striking
@κοντάριον2|spear
@κοντός1|pole, punting-pole
@κοντός2|short
@κοντός|pole, punting-pole
@κοπίζω1|talk idly, lie
@κοπίζω2|celebrate the
@κοπίζω|talk idly, lie
@κορέω1|sweep out
@κορέω|sweep out
@κορίζω1|to be infested with bugs
@κορίζω2|sweep
@κορίζω|to be infested with bugs
@κορεία1|brushing: attendance
@κορεία2|maidenhood
@κορεία|brushing: attendance
@κορός1|dark, black
@κορός2|pure
@κορός|dark, black
@κουρίζω1|to be a youth
@κουρίζω2|clip, shear
@κουρίζω|to be a youth
@κοῦρος2|loppings, twigs stripped from a tree
@κράμβος1|loud, ringing
@κράμβος2|blight in grapes, when they shrivel
@κράμβος|loud, ringing
@κράνος1|helmet
@κράνος2|rod of cherry-wood
@κράνος|helmet
@κρήτη|creta, chalk
@κραῦρος1|a disease of bees
@κραῦρος2|brittle, friable
@κραῦρος|a disease of bees
@κρημνός1|overhanging bank
@κρημνός|overhanging bank
@κωρυκίς|leaf-gall in elms
@κόριον1|little girl
@κόριον|little girl
@κόρος1|satiety, surfeit
@κόρος2|boy, lad
@κόρος3|besom
@κόρος4|kor
@κόρος|satiety, surfeit
@κύμβη1|hollow of a vessel: drinking-cup, bowl
@κύμβη2|head
@κύμβη|hollow of a vessel: drinking-cup, bowl
@κύπρινος1|made of copper
@κύπρινος2|made from the flower of
@κύπρινος|made of copper
@κύπριος|of copper
@κύπρος|henna, Lawsonia inermis
@κώρυκος|leathern sack or wallet for provisions
@κῦρος|supreme power, authority
@κῶς1|public prison
@λάχνος1|wool
@λάχνος2|glutton
@λάχνος|wool
@λάω2|seize, hold
@λέγω1|lay
@λέγω2|pick up
@λέγω|lay
@λέκιθος1|gruel
@λέκιθος2|yolk of an egg
@λέκιθος|gruel
@λήϊον1|standing crop
@λήϊον|standing crop
@λίνος|the Bands
@λίς1|lion
@λίς2|smooth
@λίς|lion
@λίψ1|the SW. wind
@λίψ2|stream
@λίψ|the SW. wind
@λαιμός1|throat, gullet
@λαιμός2|impudently
@λαιμός|throat, gullet
@λαιός1|blue thrush, Petrocichla cyanus
@λαιός2|left
@λαιός|blue thrush, Petrocichla cyanus
@λαμπάς1|torch
@λαμπάς2|torch-lit
@λαμπάς|torch
@λεία1|tool for smoothing stone
@λεία2|booty, plunder
@λεία|tool for smoothing stone
@λεώδης1|popular, common
@λεώδης|popular, common
@λεῦκος1|a fish
@λιάζω2|to be over-enthusiastic
@λιβανωτίς1|rosemary frankincense
@λιβανωτίς2|Cultes Égyptiens
@λιβανωτίς|rosemary frankincense
@λιμηρός1|hungry, causing hunger
@λιμηρός2|furnished with a good harbour
@λιμηρός|hungry, causing hunger
@λιπαρία1|persistence, perseverance
@λιπαρία2|fatness
@λιπαρία|persistence, perseverance
@λιτός1|simple, inexpensive, frugal
@λιτός3|suppliant, supplicatory
@λιτός|simple, inexpensive, frugal
@λογάς1|picked, chosen
@λογάς2|whites of the eyes
@λογάς|picked, chosen
@λοιγός1|ruin, havoc
@λοιγός|ruin, havoc
@λοῖσθος1|left behind, last
@λοῖσθος2|beam
@λοῖσθος|left behind, last
@λυμαίνομαι1|cleanse from dirt
@λυμαίνομαι2|outrage, maltreat
@λυμαίνομαι|cleanse from dirt
@λόγχη1|spear-head
@λόγχη2|lot
@λόγχη|spear-head
@λύγξ1|lynx, Felis lynx
@λύγξ2|hiccup
@λύγξ|lynx, Felis lynx
@λῆξις1|determination or appointment by lot
@λῆξις2|cessation
@λῆξις|determination or appointment by lot
@λῆρος1|trash, trumpery
@λῆρος2|gold ornament
@λῆρος|trash, trumpery
@λῦμα1|water used in washing
@λῦμα|water used in washing
@μά1|by
@μά|by
@μάψ2|in vain, without result
@μέλε2|my friend
@μέλινος2|ashen
@μέλπω1|celebrate with song and dance
@μέλπω2|sing before or first
@μέλπω|celebrate with song and dance
@μέτειμι1|sum), to be among
@μέτειμι2|go between or among
@μέτειμι|sum), to be among
@μή1|not
@μή3|lest perchance
@μή|not
@μήν1|verily, truly
@μήν|verily, truly
@μήρινθος2|cord, line, string
@μήτρα1|womb
@μήτρα2|register of house-property
@μήτρα|womb
@μίτρα|maiden's girdle
@μαλός1|white
@μαλός2|white-tailed
@μαλός|white
@μανία1|madness
@μανία|madness
@μαῖα|good mother
@μαῦλις1|bawd, procuress
@μαῦλις2|knife
@μαῦλις|bawd, procuress
@μείρομαι1|receive as one's portion
@μείρομαι|receive as one's portion
@μελίζω1|dismember, cutin pieces
@μελίζω2|modulate, sing
@μελίζω|dismember, cutin pieces
@μεῖον2|lamb or sheep offered at the Athenian Apaturia
@μηλίς2|a distemper of asses
@μηλίς3|yellow pigment
@μονία1|changelessness
@μονία2|solitude, celibacy
@μονία|changelessness
@μοναυλία1|solo on the flute
@μοναυλία2|living alone, celibacy
@μοναυλία|solo on the flute
@μορία1|the sacred olives
@μορία|the sacred olives
@μυλλός1|awry, crooked
@μυλλός2|pudenda muliebria
@μυλλός|awry, crooked
@μυωτός1|made of mouse-skin
@μυωτός2|furnished with muscles
@μυωτός|made of mouse-skin
@μόριος|of burial
@μόσχος1|young shoot or twig
@μόσχος2|calf, young bull
@μόσχος3|musk
@μόσχος|young shoot or twig
@μύδος1|damp: clamminess, decay
@μύδος|damp: clamminess, decay
@μύζω1|make the sound
@μύζω|make the sound
@μύξα1|discharge from the nose
@μύξα2|sebesten, Cordia Myxa
@μύξα|discharge from the nose
@μύουρος1|tapering
@μύουρος2|mouse-tail
@μύουρος|tapering
@μὴ1|nay but . . , not so, but
@μὴ2|certainly not
@μὴ3|lest
@μὴ4|not to speak of . . , let alone
@μὴ5|fear or apprehension
@μὴ6|never yet
@μὴ|nay but . . , not so, but
@μῆδος1|counsels, plans, arts
@μῆδος2|genitals
@μῆλον1|sheep or goat
@μῆλον2|apple
@μῆλον|sheep or goat
@νέατος1|uttermost, lowest
@νέατος2|latest, last
@νέατος|uttermost, lowest
@νέω1|swim
@νέω2|spin
@νέω3|heap, pile up
@νέω4|next year
@νέω|swim
@νίκη1|victory
@νίκη2|contentious
@νίκη|victory
@ναός1|2 Ma.)
@ναός|2 Ma.)
@νειρός1|lowest
@νειρός2|strong, vehement
@νειρός|lowest
@νεουργός1|newmade, new
@νεουργός2|shipbuilder
@νεουργός|newmade, new
@νευστικός1|able to swim
@νευστικός2|inclining, declining
@νευστικός|able to swim
@νεόδμητος1|newly tamed
@νεόδμητος2|new-built
@νεόδμητος|newly tamed
@νεόρρυτος1|fresh-flowing
@νεόρρυτος2|newly drawn
@νεόρρυτος|fresh-flowing
@νεῦσις1|inclination, tendency
@νεῦσις2|swimming
@νεῦσις|inclination, tendency
@νόμιος1|of shepherds
@νόμιος|of shepherds
@νῆσις1|spinning
@νῆσις2|accumulation
@νῆσις|spinning
@νῆϊς1|unknowing of, unpractised in
@νῆϊς|unknowing of, unpractised in
@νῦν1|now
@νῦν2|now, even now
@νῦν|now
@ξ1|to be poured over
@ξ2|to be drawn ashore, drawn up in line
@ξ3|bounteous giver
@ξυνάν2|joint-owner, partner
@ξυρόν1|razor
@ξυρόν|razor
@ξυστός1|shaved, whittled
@ξυστός2|walking-place
@ξυστός|shaved, whittled
@οἰνίζω1|resemble wine
@οἰνίζω|resemble wine
@οἴνη1|the vine
@οἴνη2|the ace
@οἴνη|the vine
@οὐ10|no truly
@οὐ11|assuredly not
@οὐ12|no truly, nay verily
@οὐ13|on the contrary . . not
@οὐ14|surely not, verily not
@οὐ15|since
@οὐ16|not however
@οὐ17|nevertheless, notwithstanding, yet, still
@οὐ18|never yet ai any time
@οὐ1|not
@οὐ2|for not
@οὐ3|indeed
@οὐ4|for surely not
@οὐ5|no,—certainly not
@οὐ6|for I don't suppose
@οὐ8|certainly not, in sooth not
@οὐ|not
@οὐδέ1|but not
@οὐδέ2|and) in no wise
@οὐδέ3|and not yet, not as yet
@οὐδέ|but not
@οὐδός1|threshold
@οὐδός2|way
@οὐδός|threshold
@οὐκ2|so not, not then
@οὐλή2|wound scarred over, scar
@οὐρέω1|make water
@οὐρέω2|watch
@οὐρέω|make water
@οὐρία2|a water-bird
@οὐρίζω2|carry with a fair wind, waft on the way
@οὐραῖος1|of the tail
@οὐραῖος|of the tail
@οὔ1|surely not, certainly not
@οὔ2|surely not
@οὔ3|not at all
@οὔ4|nowhere
@οὔ5|nowhere
@οὔ6|not ever, never
@οὔ7|surely you do not mean that . . ?
@οὔ|surely not, certainly not
@οὔριος1|with a fair wind
@οὔριος2|of or for urine
@οὔριος|with a fair wind
@οὔτι1|in no wise
@οὔτι2|not, I suppose . . , surely you do not mean that
@οὔτι3|not at all yet
@οὔτι|in no wise
@οὖλος1|whole, entire
@οὖλος2|woolly, of thick, fleecy wool
@οὖλος3|destructive, baneful, cruel
@οὖλος4|corn-sheaf
@οὖλος|whole, entire
@οὖρον1|urine
@οὖρον2|limit, range
@οὖρον|urine
@οὖρος1|fair wind
@οὖρος2|watcher, guardian
@οὖρος4|urus, Bos primigenius
@οὖρος|fair wind
@οὗ1|where
@οὗ2|him, her
@οὗ|where
@πάλη1|wrestling
@πάλη2|the finest meal
@πάλη|wrestling
@πάν|fish
@πάνορμος|always fit for mooring in
@πάραυλος1|dwelling beside
@πάραυλος2|discordant, out of tune
@πάραυλος|dwelling beside
@πάρειμι1|sum
@πάρειμι2|pass by, pass
@πάρειμι|sum
@πάροδος2|way by or past, passage
@πάρος1|aforetime, formerly
@πάρουρος1|one who keeps watch beside
@πάρουρος2|beside the tail
@πάρουρος|one who keeps watch beside
@πάροχος1|one who sits beside
@πάροχος2|provider
@πάροχος|one who sits beside
@πάτος1|trodden or beaten way, path
@πάτος2|robe worn by Hera
@πάτος|trodden or beaten way, path
@πέδορτος1|rising from the ground
@πέδορτος|rising from the ground
@πέρα1|beyond, further
@πέρα2|to a foreign city
@πέρα|beyond, further
@πίασμα1|that which makes fat
@πίασμα|that which makes fat
@παλαιστής1|wrestler
@παλαιστής|wrestler
@πανός2|torch
@παράλληλος1|beside one another, side by side
@παράλληλος2|beyond calculation, unexpected, unlooked for
@παράλληλος|beside one another, side by side
@παράφασις1|address, encouragement, consolation
@παράφασις2|image in a mirror
@παράφασις|address, encouragement, consolation
@παραλληλία1|being side by side, repetition
@παραλληλία2|false form
@παραλληλία|being side by side, repetition
@παραλληλισμός1|equating
@παραλληλισμός2|false reasoning, fallacy
@παραλληλισμός|equating
@παραφάσσω1|feel gently with the finger
@παραφάσσω|feel gently with the finger
@παρθένος|maiden, girl
@παστός1|sprinkled with salt, salted
@παστός2|woman's chamber, bridal chamber
@παστός|sprinkled with salt, salted
@περ1|very much, however much.
@περ|very much, however much.
@περάω1|drive right through
@περάω|drive right through
@περίαλλος1|before all others
@περίαλλος|before all others
@περίδρομος1|running round, encircling
@περίδρομος2|that which surrounds, edge, rim
@περίδρομος|running round, encircling
@περίειμι1|to be around
@περίειμι2|go round, fetch a compass
@περίειμι|to be around
@περίοδος1|one who goes the rounds, patrol
@περίοδος2|going round, marching round, flank march
@περίοδος|one who goes the rounds, patrol
@περίπλοος1|sailing round
@περίπλοος2|circumnavigation
@περίπλοος|sailing round
@περινέω1|swim round
@περινέω2|pile, heap round
@περινέω|swim round
@περισκελής1|very hard
@περισκελής2|round the leg
@περισκελής|very hard
@περιστένω1|make narrow, compress, contract
@περιστένω2|moan about or over
@περιστένω|make narrow, compress, contract
@περσέπολις|destroyer of cities
@πεῖ2|where?
@πεῖσμα1|ship's cable
@πεῖσμα2|persuasion, confidence
@πεῖσμα|ship's cable
@πιθών1|cellar
@πιθών|cellar
@πιστικός1|liquid
@πιστικός2|faithful
@πιστικός|liquid
@πιστός1|liquid
@πιστός2|to be trusted or believed
@πιστός|liquid
@πλάζω1|turn aside or away from
@πλάζω|turn aside or away from
@πλάτος1|breadth, width
@πλάτος|breadth, width
@πλάτων|ladle
@πλοῦτος1|wealth, riches
@πλοῦτος|wealth, riches
@ποιώδης2|qualitative
@πολιάς|grey-haired
@πολιοῦχος2|greyhaired
@πολιᾶχος2|protecting a city
@πολυδειράς1|with many ridges
@πολυδειράς2|many-necked
@πολυδειράς|with many ridges
@πολυτειρής1|wearying much
@πολυτειρής2|rich in stars
@πολυτειρής|wearying much
@πολύβροχος1|freshly infused several times
@πολύβροχος2|with many nooses
@πολύβροχος|freshly infused several times
@πολύπους1|many-footed
@πολύπους2|poulp or octopus
@πολύπους|many-footed
@πολύπυρος1|rich in corn
@πολύπυρος2|full of fire
@πολύπυρος|rich in corn
@ποτή1|flight
@ποτή2|sample of wine
@ποτή|flight
@πρέσβις1|ambassador
@πρέσβις2|age
@πρέσβις|ambassador
@πρίω2|saw
@πρίων1|saw
@πρίων|saw
@πρεσβύτης1|age, seniority
@πρεσβύτης|age, seniority
@προέξειμι1|sum) improve, derive benefit
@προέξειμι2|ibo) sally forth from
@προέξειμι|sum) improve, derive benefit
@προθέω1|run before
@προθέω2|do they
@προθέω|run before
@προνέω1|heap up before
@προνέω2|swim before
@προνέω|heap up before
@προσδέω1|bind on or to
@προσδέω2|need besides
@προσδέω|bind on or to
@προσκοπή1|looking out for
@προσκοπή2|offence taken
@προσκοπή|looking out for
@προσνέω1|swim to or towards
@προσνέω2|heap up against
@προσνέω|swim to or towards
@προσφάγιον1|PLond. ined.
@προσφάγιον2|victim sacrificed beforehand
@προσφάγιον|PLond. ined.
@προυσέληνος1|before the new moon appears
@προυσέληνος|before the new moon appears
@πρυτανεία1|presidency
@πρυτανεία|presidency
@πρόβολος1|anything that projects
@πρόβολος2|eligible for nomination
@πρόβολος|anything that projects
@πρόδομος1|chamber entered immediately from the fore-court
@πρόδομος2|before the house
@πρόδομος|chamber entered immediately from the fore-court
@πρόειμι1|ibo) go forward, advance
@πρόειμι2|sum) to be before
@πρόειμι|ibo) go forward, advance
@πρόοδος1|going before
@πρόοδος2|going on, advance
@πρόοδος|going before
@πρόπλοος1|sailing before or in advance
@πρόπλοος2|sailing before or forward
@πρόπλοος|sailing before or in advance
@πρόσειμι1|sum
@πρόσειμι2|go to or towards, approach
@πρόσειμι|sum
@πρῆσις2|blowing up, distension
@πυκνός1|close, compact.
@πυκνός|close, compact.
@πυκτίς1|picture
@πυκτίς2|badger
@πυκτίς|picture
@πυρά1|watch-fires
@πυρά2|funeral-pyre
@πυρά|watch-fires
@πυρίδιον1|spark
@πυρίδιον|spark
@πυρίτης1|of or in fire
@πυρίτης2|wheaten
@πυρίτης|of or in fire
@πυρογενής1|fire-born
@πυρογενής2|made from wheat
@πυρογενής|fire-born
@πυροφορέω1|bear wheat
@πυροφορέω2|to be
@πυροφορέω|bear wheat
@πυροφόρος1|inflammatory missiles
@πυροφόρος2|wheat-bearing
@πυροφόρος|inflammatory missiles
@πυρσός1|firebrand, torch
@πυρσός|firebrand, torch
@πυρώδης1|cereal
@πυρώδης2|like fire, fiery
@πυρώδης|cereal
@πόσις1|husband, spouse
@πόσις2|drinking, drink, beverage
@πόσις|husband, spouse
@πότημα1|flight
@πότημα2|draught, potion
@πότημα|flight
@πύξ1|with the fist
@πύξ|with the fist
@πύρινος1|of fire, fiery
@πύρινος2|of wheat, wheaten
@πύρινος|of fire, fiery
@πᾶς1|all
@πᾶς|all
@πῶ1|where?
@πῶ2|drink!
@πῶ|where?
@πῶμα1|lid, cover
@πῶμα2|drink, draught
@πῶμα|lid, cover
@σάκος2|shield
@σάκτας1|sack
@σάκτας|sack
@σάραξ2|tinea
@σάραπις|a white Persian robe with purple stripes
@σάω1|sift, bolt.
@σάω|sift, bolt.
@σαίρω1|part the lips and show the closed teeth
@σαίρω2|sweep, clean
@σαίρω|part the lips and show the closed teeth
@σαβάζω|shake violently, scatter
@σειράω1|bind or draw with a rope
@σειράω2|to be hot and scorching
@σειράω|bind or draw with a rope
@σηστός|the sifter
@σκάρος1|parrot-wrasse, Scarus cretensis
@σκάρος|parrot-wrasse, Scarus cretensis
@σκάφιον1|small bowl or basin
@σκάφιον2|small boat
@σκάφιον|small bowl or basin
@σκάφος1|digging, hoeing
@σκάφος2|hull of a ship
@σκάφος|digging, hoeing
@σκαφίς1|bowl
@σκαφίς2|boat, skiff
@σκαφίς|bowl
@σκενδύλη1|pincers
@σκενδύλη|pincers
@σκνιπός1|niggardly, stingy
@σκνιπός2|dim-sighted
@σκνιπός|niggardly, stingy
@σκῖρον2|rind
@σκῦρος|chippings of stone
@σκῶλος1|pointed stake
@σκῶλος|pointed stake
@σμύρνα|myrrh
@σοῦ2|shoo! shoo!
@σπάρτη|rope or cord
@σπίζω1|pipe, chirp
@σπίζω2|extend
@σπίζω|pipe, chirp
@σπίλος1|rock, cliff
@σπίλος2|spot, fleck, blemish
@σπίλος|rock, cliff
@σπανός|rare, uncommon
@σπιλάς1|rock over which the sea dashes
@σπιλάς2|spot
@σπιλάς3|storm, squall
@σπιλάς|rock over which the sea dashes
@στίβη1|stipa
@στίβη2|rime, hoar frost
@στίβη|stipa
@στερρός1|stiff, firm, solid
@στερρός2|barren
@στερρός|stiff, firm, solid
@στεῖρα1|forepart of a ship's keel
@στεῖρα2|that has not brought forth young
@στεῖρα|forepart of a ship's keel
@στύπος1|stem, stump, block
@στύπος|stem, stump, block
@στύραξ1|storax
